id;username;password;email;role;first_name;last_name;created_date;last_modified_date;last_login_date;is_active
1;cornerstone meek;save poorly charming;"B@1\tIqL[C";INSTRUCTOR;Jaylin;Wilderman;2024-07-16T04:23:01;2024-07-16T13:43:43;2024-07-16T04:42:11;true
2;only tenderly;from;"6@=\Wv5:?1";STUDENT;Lauretta;Abshire;2024-07-16T01:53:45;2024-07-16T03:23:25;2024-07-16T18:36:50;true
3;broken not;ziggurat;"8TPr@M~V\nk";ADMIN;Magdalena;Wuckert;2024-07-15T23:17:36;2024-07-16T02:09:58;2024-07-16T02:21:46;false
4;absence soupy;before ego upward;"(a|RyM@U\M=";ADMIN;Jade;Leannon;2024-07-15T21:25:17;2024-07-15T22:47:58;2024-07-16T05:52:13;true
5;consequently;when;"j/!2M7@E]D\bob";ADMIN;Alexandrea;Casper;2024-07-15T23:45:47;2024-07-16T02:32:49;2024-07-16T17:55:29;false
6;astride factor pfft;focalise devalue;"vV/@Ox\9h";STUDENT;Ewell;Kuhlman;2024-07-16T13:31:49;2024-07-16T02:35:43;2024-07-16T00:49:22;true
7;boohoo;after;"h=@1\y9Fk_";STUDENT;Jazlyn;Goldner;2024-07-16T07:06:50;2024-07-16T08:22:46;2024-07-16T06:43:41;false
8;unaccountably;very;"Jc$@(O6\ r";STUDENT;Kenton;Witting;2024-07-16T03:53:05;2024-07-16T14:46:07;2024-07-16T09:03:33;true
9;vivaciously;until;"m@o2l6`y\HY";STUDENT;Pasquale;Von;2024-07-16T19:49:41;2024-07-16T11:19:52;2024-07-16T09:17:25;true
10;round duh however;chief squatter;"n<@]i \mWS?";ADMIN;Desmond;Schneider;2024-07-16T16:07:10;2024-07-16T14:30:00;2024-07-16T10:48:17;true
